ch,adc
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,265
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,1051
1,265
1,264
1,264
1,264
1,265
1,265
1,265
1,265
1,264
1,264
1,264
1,264
1,265
1,264
1,264
1,264
1,264
1,264
1,265
1,265
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,265
1,265
1,265
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,265
1,265
1,265
1,265
1,264
1,265
1,265
1,265
1,264
1,265
1,265
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,264
1,264
1,264
1,265
1,264
1,265
1,264
1,264
1,264
1,264
1,264
1,265
1,264
1,263
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,264
1,264
1,264
1,264
1,265
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,264
1,265
1,265
1,265
1,264
1,265
1,264
1,265
1,265
1,265
1,264
1,265
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,264
1,265
1,265
1,265
1,264
1,264
1,264
1,264
1,265
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,263
1,264
1,264
1,264
1,264
1,264
1,265
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,265
1,264
1,264
1,264
1,264
1,264
1,265
1,1051
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,265
1,265
1,265
1,265
1,264
1,264
1,264
1,265
1,265
1,265
1,265
1,265
1,265
1,265
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,265
1,265
1,265
1,265
1,264
1,264
1,265
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
1,264
