ch,adc
3,262
3,256
3,263
3,581
3,262
3,476
3,478
3,260
3,475
3,478
3,262
3,533
3,497
3,886
3,261
3,668
3,267
3,583
3,264
3,261
3,263
3,713
3,584
3,264
3,263
3,579
3,475
3,585
3,476
3,260
3,505
3,797
3,770
3,480
3,589
3,533
3,487
3,790
3,260
3,260
3,780
3,536
3,261
3,263
3,260
3,588
3,562
3,703
3,265
3,261
3,499
3,608
3,479
3,755
3,620
3,797
3,478
3,486
3,265
3,262
3,264
3,478
3,603
3,481
3,475
3,262
3,474
3,259
3,264
3,820
3,481
3,481
3,264
3,0
3,499
3,680
3,264
3,0
3,724
3,256
3,657
3,605
3,561
3,637
3,486
3,760
3,479
3,655
3,599
3,261
3,479
3,261
3,676
3,582
3,779
3,476
3,578
3,492
3,264
3,676
3,496
3,561
3,765
3,493
3,479
3,0
3,265
3,618
3,264
3,610
3,482
3,520
3,481
3,477
3,644
3,483
3,479
3,264
3,786
3,479
3,535
3,551
3,264
3,512
3,479
3,541
3,261
3,483
3,261
3,833
3,485
3,527
3,505
3,646
3,726
3,486
3,503
3,265
3,260
3,768
3,263
3,260
3,487
3,263
3,261
3,480
3,736
3,262
3,486
3,477
3,608
3,256
3,479
3,648
3,485
3,264
3,557
3,481
3,518
3,506
3,485
3,564
3,615
3,492
3,263
3,511
3,729
3,476
3,634
3,481
3,476
3,527
3,482
3,616
3,509
3,522
3,478
3,264
3,695
3,478
3,484
3,476
3,477
3,484
3,481
3,811
3,483
3,260
3,701
3,260
3,476
3,477
3,750
3,475
3,261
3,478
3,741
3,493
3,256
3,260
3,264
3,778
3,793
3,810
3,720
3,644
3,559
3,264
3,821
3,480
3,652
3,482
3,262
3,589
3,684
3,640
3,263
3,482
3,586
3,480
3,478
3,476
3,681
3,778
3,851
3,691
3,606
3,515
3,490
3,573
3,264
3,264
3,477
3,647
3,263
3,745
3,656
3,486
3,481
3,558
3,482
3,265
3,478
3,478
3,261
3,747
3,264
3,261
3,669
3,577
3,843
3,478
3,485
3,783
3,611
3,800
3,0
3,644
3,612
3,660
3,502
3,789
3,0
3,476
3,787
3,484
3,260
3,487
3,703
3,541
3,642
3,480
3,686
3,496
3,259
3,267
3,646
3,265
3,574
3,502
3,260
3,512
3,476
3,474
3,705
3,326
3,752
3,477
3,530
3,559
3,491
3,480
3,261
3,488
3,746
3,726
3,601
3,261
3,264
3,492
3,261
3,513
3,483
3,486
3,806
3,499
3,264
3,722
3,655
3,481
3,769
3,739
3,799
3,261
3,261
3,583
3,526
3,477
3,259
3,0
3,734
3,485
3,261
3,594
3,477
3,706
3,264
3,264
3,644
3,481
3,658
3,751
3,260
3,261
3,571
3,519
3,532
3,263
3,264
3,624
3,638
3,525
3,557
3,487
3,261
3,507
3,800
3,265
3,827
3,792
3,261
3,475
3,558
3,264
3,673
3,610
3,263
3,663
3,264
3,514
3,264
3,512
3,585
3,478
3,638
3,543
3,609
3,610
3,551
3,478
3,670
3,263
3,269
3,258
3,644
3,623
3,260
3,598
3,626
3,542
3,669
3,479
3,800
3,264
3,719
3,264
3,262
3,480
3,693
3,485
3,741
3,483
3,499
3,483
3,735
3,481
